Prey,Predator,Time
20.0,20.0,1.0
16.456449408754015,19.272964703519495,2.0
13.901344977544163,17.47292296565314,3.0
12.2431761450459,15.191765535147052,4.0
11.296821574881937,12.872817365272834,5.0
10.898426902484584,10.764651853903665,6.0
10.933418005357861,8.97043619899353,7.0
11.331405440877266,7.508362260118864,8.0
12.05432895926537,6.355699625504283,9.0
13.085899369977692,5.475289728323283,10.0
14.423331935706836,4.829899108551564,11.0
16.070325933857585,4.38961855471752,12.0
18.02971829072602,4.135976532049636,13.0
20.293898853113372,4.06522165401042,14.0
22.83050650227938,4.192535595867885,15.0
25.560176063004075,4.558497675217456,16.0
28.323064640085075,5.2381157184748615,17.0
30.834849741546908,6.348883614068359,18.0
32.649575656601876,8.042523649165998,19.0
33.18850359351778,10.441083513261747,20.0
31.941436314182052,13.467392187059971,21.0
28.861853251520984,16.626682156355827,22.0
24.625685322409335,19.047512393143666,23.0
20.299587911725865,19.995557436341763,24.0
16.686179252311373,19.371496794308854,25.0
14.05833254315603,17.63006007673059,26.0
12.339670112367694,15.366919610299508,27.0
11.346592510233512,13.040023558954655,28.0
10.912011640660621,10.911229389257942,29.0
10.917676952561925,9.092307133917634,30.0
11.29031402930646,7.606009949872223,31.0
11.989852745449282,6.431550635019269,32.0
12.99869379732413,5.532234175015397,33.0
14.31329670152104,4.870517770205701,34.0
15.937117106636864,4.415782474231256,35.0
17.873345362617286,4.148594743907858,36.0
20.115564835519663,4.063984142079349,37.0
22.633901115443734,4.175535882942805,38.0
25.353483211250683,4.521656163443364,39.0
28.121874175646123,5.174456101601427,40.0
30.665581986466655,6.248192560394224,41.0
32.55104755397016,7.893223504392256,42.0
33.20525684447307,10.238166777516083,43.0
32.10086078998348,13.228769169326966,44.0
29.142896822425293,16.405569996966587,45.0
24.95675991147191,18.91228559572196,46.0
20.603391053485435,19.982149910036565,47.0
16.921518846108114,19.46380098559502,48.0
14.22038793385236,17.78439134437946,49.0
12.440163797574689,15.541817395917931,50.0
11.399427964077384,13.208394934018768,51.0
10.928010149095135,11.05956073400359,52.0
10.903950148015198,9.216036831697611,53.0
11.251020073197264,7.705389103067915,54.0
11.9270802532318,6.508923567455708,55.0
12.91317532620169,5.590489577217593,56.0
14.20497066924689,4.912276253313245,57.0
15.805639007766281,4.4429772922181705,58.0
17.71867356164461,4.162214496787464,59.0
19.938776159082284,4.063820378867156,60.0
22.43844169779704,4.15981797433978,61.0
25.147113811069254,4.486490489410942,62.0
27.919515787163945,5.113104400885315,63.0
30.49274720118667,6.150662736892575,64.0
32.4457061429774,7.747868958824831,65.0
33.21208673027326,10.039016887164706,66.0
32.24966345627242,12.991395159861431,67.0
29.416918971105837,16.18071721673585,68.0
25.287045128211417,18.76878390536523,69.0
20.911185082865135,19.95967102590189,70.0
17.16245207167225,19.549621091853716,71.0
14.387580876677305,17.93568363295713,72.0
12.544734191518492,15.71631034692861,73.0
11.455386168290373,13.377858715592323,74.0
10.946460044168747,11.209621642183203,75.0
10.892259128436354,9.341626870205701,76.0
11.213533985925176,7.806512337983757,77.0
11.866014702677736,6.587833762639085,78.0
12.829342987187607,5.650069634736637,79.0
14.098351502780936,4.955184387426182,80.0
15.675891144425561,4.471207689806088,81.0
17.565708701656177,4.176833982355026,82.0
19.763551693871285,4.064720053915067,83.0
22.24417088411055,4.145359953539789,84.0
24.94115025097578,4.4529629433003795,85.0
27.71613144370485,5.054004219080969,86.0
30.31655967672409,6.05622637421482,87.0
32.333810670780856,7.606419325199575,88.0
33.20917750500538,9.84371178051834,89.0
32.38775866862705,12.75555872871691,90.0
29.683517172633678,15.95253166410982,91.0
25.616081010028537,18.61724182808909,92.0
21.22272424985964,19.928038198558234,93.0
17.408951471895936,19.62870471595613,94.0
14.559980428266083,18.083696922974106,95.0
12.653461661329596,15.890242985979935,96.0
11.514529183095718,13.548337872289363,97.0
10.967402136894385,11.361386174901467,98.0
10.882628047377986,9.4690785932493,99.0
11.17786827489448,7.90939292068885,100.0
